Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,69;0,21;0,91;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;9;7;1;4;7;10;6;5;22;4;10;12;12;13;17;17;17;17;17;16;15;16;15;26;17;17;17;17;21;0
14,69;0,21;0,43;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;9;7;1;4;7;10;6;5;25;4;12;11;12;10;17;17;17;17;17;16;15;16;15;26;17;17;17;17;21;0
14,76;0,24;0,93;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;10;8;1;4;7;11;7;5;25;4;10;12;12;16;17;17;17;17;17;16;16;16;15;26;17;17;17;17;21;0
14,69;0,19;0,13;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;10;8;1;4;7;11;7;6;27;6;12;12;13;13;17;17;17;17;17;16;16;16;16;26;17;17;17;17;21;0
14,83;0,21;1,09;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;10;8;1;5;8;11;7;5;27;4;10;14;13;13;17;17;17;17;17;17;16;16;16;26;17;17;17;17;21;0
14,69;0,24;0,16;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;10;8;3;5;8;12;7;6;28;6;12;14;13;14;17;17;17;17;17;17;16;16;16;26;17;17;17;17;21;0
14,83;0,21;1,04;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;12;10;3;5;8;12;9;6;27;6;10;14;15;14;17;17;17;17;17;17;16;16;16;25;17;17;17;17;21;0
14,76;0,24;0,45;0,04;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;12;10;3;5;10;12;9;8;28;4;13;14;13;16;17;17;17;17;17;17;16;16;16;25;17;17;17;17;21;0
14,83;0,21;0,77;0,07;0,09;3,20;3,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,58;3,22;0,00;21;19;12;-236;3;5;8;12;9;6;30;6;12;16;15;13;17;17;17;17;17;17;16;16;16;25;17;17;17;17;21;2
14,83;0,21;0,67;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;12;10;3;5;10;14;9;8;28;6;13;16;15;16;17;17;17;17;17;17;16;16;16;25;17;17;17;17;21;0
